,source_name
870867-9,Boatlaname Health Post
782241-4,Borakalalo Clinic
227526-1,Beetsha Clinic
419322-3,BAC Clinic
755538-6,Bobonong Primary Hospital
608423-0,Bodibeng Health Post
787329-2,Boikhutso Clinic
827227-0,Bogogobo Health Post
348819-4,Bere Health Post
940107-6,Bonwapitse Health Post
889361-2,Bokaa Clinic
228800-9,Bokaa  Clinic
611993-7,Area S Health Post
153397-5,Artesia Clinic
713823-3,Area L Health Post
755644-2,Baitiredi Clinic
190567-8,Bontleng Clinic
